id,vintage_id,wine_name,producer,location,transaction_type,quantity,unit_cost,total_cost,reference_id,notes,created_at
5269,23,"Salon Le Mesnil Blanc de Blancs 2014","Salon Le",Fridge 2,IN,12,,,intake-296,"Delivery from order #296",2024-01-22
5270,23,"Salon Le Mesnil Blanc de Blancs 2014","Salon Le",Fridge 2,IN,12,,,intake-297,"Delivery from order #297",2024-01-22
5271,21,"Krug Grande Cuvée 2012","Krug",Fridge 2,OUT,1,,,consumption-2024-01-24,"Guest service - 3 guests",2024-01-24
5272,5,"Veuve Clicquot La Grande Dame 2009","Veuve",Main Cellar A1,OUT,2,,,consumption-2024-01-24,"Guest service - 4 guests",2024-01-24
3048,27,"Pol Roger Sir Winston Churchill 2018","Pol",Main Cellar B1,ADJUST,1,,,,"Weekly audit adjustment",2024-01-28
3049,536,"Dauvissat Chablis Grand Cru Les Preuses 2018","Dauvissat",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-28
5273,67,"Krug Clos du Mesnil 2005","Krug",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-01-28
5274,530,"Pierre‑Yves Colin‑Morey Chassagne‑Montrachet 1er Cru 2008","Pierre‑Yves",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-28
5275,346,"Château Malartic‑Lagravière Blanc 2016","Château Malartic‑Lagravière Blanc 2016",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-01-28
5276,5,"Veuve Clicquot La Grande Dame 2009","Veuve",Main Cellar A1,IN,12,,,intake-298,"Delivery from order #298",2024-02-03
5277,554,"Raveneau Chablis Grand Cru Blanchot 2016","Raveneau",Fridge 2,IN,12,,,intake-298,"Delivery from order #298",2024-02-03
3050,249,"Château Lynch‑Bages 2019","Château Lynch‑Bages 2019",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-04
3051,183,"Château Mouton Rothschild 2019","Château Mouton Rothschild 2019",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-04
5278,658,"Casanova di Neri Tenuta Nuova 2005","Casanova di",Wine Fridge Port,OUT,1,,,consumption-2024-02-04,"Guest service - 3 guests",2024-02-04
5279,201,"Château Margaux 2006","Château Margaux 2006",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-02-04
5280,627,"Tua Rita Redigaffi 2016","Tua",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-04
5281,616,"Biondi‑Santi Brunello 2008","Biondi‑Santi",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-04
3052,812,"La Rioja Alta 904 Gran Reserva 2014","La",Main Cellar B1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-11
3053,180,"Château Montrose 2005","Château Montrose 2005",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-11
5282,927,"Opus One 2012","Opus One",Main Cellar B1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-11
5283,344,"Château Malartic‑Lagravière Blanc 2008","Château Malartic‑Lagravière Blanc 2008",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-02-11
5284,412,"Domaine Dujac Clos de la Roche 2016","Domaine",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-11
5285,183,"Château Mouton Rothschild 2019","Château Mouton Rothschild 2019",Fridge 1,OUT,2,,,consumption-2024-02-12,"Guest service - 4 guests",2024-02-12
5286,554,"Raveneau Chablis Grand Cru Blanchot 2016","Raveneau",Fridge 2,OUT,1,,,consumption-2024-02-12,"Guest service - 2 guests",2024-02-12
3054,631,"Sassicaia 2018","Sassicaia",Wine Fridge Port,OUT,1,,,consumption-2024-02-18,"Guest service - 2 guests",2024-02-18
3055,9,"Taittinger Comtes de Champagne 2019","Taittinger",Main Cellar A1,OUT,1,,,consumption-2024-02-18,"Guest service - 4 guests",2024-02-18
3056,364,"Domaine de Chevalier Blanc 1996","Domaine de",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-18
3057,909,"Kistler Chardonnay Les Noisetiers 2018","Kistler",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-18
5287,855,"Dönnhoff Hermannshöhle GG 2015","Dönnhoff",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-18
5288,786,"Marqués de Murrieta Castillo Ygay 2000","Marqués de",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-02-18
5289,614,"Casanova di Neri Tenuta Nuova 2010","Casanova di",Guest Pantry 2,OUT,2,,,consumption-2024-02-19,"Guest service - 4 guests",2024-02-19
3058,924,"Peter Michael Les Pavots 2015","Peter",Fridge 2,OUT,2,,,consumption-2024-02-24,"Guest service - 4 guests",2024-02-24
3059,187,"Château Lynch‑Bages 2010","Château Lynch‑Bages 2010",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-25
3060,298,"Château Talbot 2018","Château Talbot 2018",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-02-25
5290,318,"Château Pichon Comtesse 2014","Château Pichon Comtesse 2014",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-25
5291,850,"Wittmann Morstein GG 2012","Wittmann",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-02-25
5292,422,"Joseph Drouhin Clos des Mouches 2005","Joseph",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-02-25
5293,614,"Casanova di Neri Tenuta Nuova 2010","Casanova di",Guest Pantry 2,IN,12,,,intake-299,"Delivery from order #299",2024-02-28
3061,752,"Artadi Viña El Pisón 2009","Artadi",Wine Fridge Starboard,ADJUST,1,,,,"Weekly audit adjustment",2024-03-03
3062,640,"Vietti Barolo Ravera 2018","Vietti",Wine Fridge Starboard,ADJUST,1,,,,"Weekly audit adjustment",2024-03-03
3063,879,"Harlan Estate Proprietary Red 2019","Harlan",Main Cellar B3,ADJUST,1,,,,"Weekly audit adjustment",2024-03-03
5294,203,"Château Talbot 2010","Château Talbot 2010",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-03
5295,75,"Dom Pérignon 2019","Dom",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-03
3064,583,"Ornellaia 2009","Ornellaia",Guest Pantry 1,OUT,1,,,consumption-2024-03-05,"Guest service - 4 guests",2024-03-05
3065,948,"Bryant Family Cabernet 2008","Bryant",Wine Fridge Starboard,OUT,2,,,consumption-2024-03-05,"Guest service - 4 guests",2024-03-05
5296,753,"Clos Mogador 2019","Clos",Guest Pantry 2,OUT,1,,,consumption-2024-03-05,"Guest service - 2 guests",2024-03-05
5297,65,"Dom Pérignon 2005","Dom",Main Cellar B1,OUT,2,,,consumption-2024-03-06,"Guest service - 4 guests",2024-03-06
5298,833,"Dr. Loosen Ürziger Würzgarten GG 2003","Dr.",Main Cellar B3,OUT,1,,,consumption-2024-03-06,"Guest service - 3 guests",2024-03-06
5299,523,"Dauvissat Chablis Grand Cru Les Preuses 2009","Dauvissat",Main Cellar B1,OUT,1,,,consumption-2024-03-07,"Guest service - 2 guests",2024-03-07
5300,99,"Pol Roger Sir Winston Churchill 2002","Pol",Guest Pantry 1,OUT,2,,,consumption-2024-03-07,"Guest service - 4 guests",2024-03-07
3066,523,"Dauvissat Chablis Grand Cru Les Preuses 2009","Dauvissat",Main Cellar B1,OUT,1,,,consumption-2024-03-08,"Guest service - 2 guests",2024-03-08
3067,99,"Pol Roger Sir Winston Churchill 2002","Pol",Guest Pantry 1,OUT,2,,,consumption-2024-03-08,"Guest service - 4 guests",2024-03-08
3068,142,"Château Calon‑Ségur 2012","Château Calon‑Ségur 2012",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-10
3069,462,"Claude Dugat Gevrey 1er Cru 2015","Claude",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-03-10
3070,671,"Solaia 2009","Solaia",Main Cellar B3,ADJUST,1,,,,"Weekly audit adjustment",2024-03-10
5301,839,"J. J. Prüm Wehlener Sonnenuhr Spätlese 2016","J. J.",Main Cellar B1,OUT,5,,,consumption-2024-03-10,"Guest service - 10 guests",2024-03-10
5302,118,"Krug Vintage 2006","Krug",Guest Pantry 1,OUT,2,,,consumption-2024-03-10,"Guest service - 6 guests",2024-03-10
5303,232,"Château Pichon Comtesse 2015","Château Pichon Comtesse 2015",Wine Fridge Port,ADJUST,1,,,,"Weekly audit adjustment",2024-03-10
5304,332,"Château Haut‑Brion Blanc 2002","Château Haut‑Brion Blanc 2002",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-10
3071,797,"CVNE Imperial Gran Reserva 2015","CVNE",Fridge 1,OUT,2,,,consumption-2024-03-11,"Guest service - 6 guests",2024-03-11
3072,248,"Château Calon‑Ségur 2002","Château Calon‑Ségur 2002",Main Cellar A1,OUT,3,,,consumption-2024-03-11,"Guest service - 6 guests",2024-03-11
3073,879,"Harlan Estate Proprietary Red 2019","Harlan",Main Cellar B3,IN,12,,,intake-63,"Delivery from order #63",2024-03-13
3074,112,"Louis Roederer Cristal 2008","Louis",Fridge 2,OUT,5,,,consumption-2024-03-17,"Guest service - 9 guests",2024-03-17
3075,391,"Comte Liger‑Belair La Romanée 2010","Comte",Fridge 1,OUT,5,,,consumption-2024-03-17,"Guest service - 9 guests",2024-03-17
3076,96,"Krug Clos du Mesnil 2002","Krug",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-17
3077,779,"Marqués de Murrieta Castillo Ygay 2009","Marqués de",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-03-17
5305,833,"Dr. Loosen Ürziger Würzgarten GG 2003","Dr.",Main Cellar B3,IN,12,,,intake-300,"Delivery from order #300",2024-03-17
5306,101,"Bollinger La Grande Année 2015","Bollinger La",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-17
5307,199,"Château Montrose 2002","Château Montrose 2002",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-17
3078,756,"Marqués de Murrieta Castillo Ygay 2002","Marqués de",Fridge 2,OUT,6,,,consumption-2024-03-18,"Guest service - 11 guests",2024-03-18
3079,97,"Pol Roger Sir Winston Churchill 2010","Pol",Fridge 1,OUT,3,,,consumption-2024-03-18,"Guest service - 10 guests",2024-03-18
3080,248,"Château Calon‑Ségur 2002","Château Calon‑Ségur 2002",Main Cellar A1,IN,12,,,intake-65,"Delivery from order #65",2024-03-20
3081,248,"Château Calon‑Ségur 2002","Château Calon‑Ségur 2002",Main Cellar A1,IN,12,,,intake-64,"Delivery from order #64",2024-03-21
5308,878,"Dönnhoff Hermannshöhle GG 2004","Dönnhoff",Main Cellar A2,OUT,2,,,consumption-2024-03-21,"Guest service - 4 guests",2024-03-21
5309,510,"Domaine Leflaive Puligny‑Montrachet 1er Cru 2012","Domaine",Guest Pantry 1,OUT,1,,,consumption-2024-03-21,"Guest service - 2 guests",2024-03-21
5310,833,"Dr. Loosen Ürziger Würzgarten GG 2003","Dr.",Main Cellar B3,IN,12,,,intake-301,"Delivery from order #301",2024-03-22
3082,178,"Château Talbot 1999","Château Talbot 1999",Fridge 2,OUT,1,,,consumption-2024-03-23,"Guest service - 2 guests",2024-03-23
5311,756,"Marqués de Murrieta Castillo Ygay 2002","Marqués de",Fridge 2,OUT,6,,,consumption-2024-03-23,"Guest service - 11 guests",2024-03-23
5312,97,"Pol Roger Sir Winston Churchill 2010","Pol",Fridge 1,OUT,3,,,consumption-2024-03-23,"Guest service - 10 guests",2024-03-23
3083,391,"Comte Liger‑Belair La Romanée 2010","Comte",Fridge 1,IN,12,,,intake-66,"Delivery from order #66",2024-03-24
3084,112,"Louis Roederer Cristal 2008","Louis",Fridge 2,IN,12,,,intake-66,"Delivery from order #66",2024-03-24
3085,97,"Pol Roger Sir Winston Churchill 2010","Pol",Fridge 1,IN,12,,,intake-66,"Delivery from order #66",2024-03-24
3086,248,"Château Calon‑Ségur 2002","Château Calon‑Ségur 2002",Main Cellar A1,IN,12,,,intake-66,"Delivery from order #66",2024-03-24
3087,423,"Domaine Dujac Clos de la Roche 2009","Domaine",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-24
3088,279,"Château Giscours 2005","Château Giscours 2005",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-24
3089,627,"Tua Rita Redigaffi 2016","Tua",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-24
5313,960,"Shafer Hillside Select 2016","Shafer",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-24
5314,947,"Bryant Family Cabernet 2015","Bryant",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-03-24
5315,111,"Veuve Clicquot La Grande Dame 2010","Veuve",Main Cellar B1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-24
5316,880,"Harlan Estate Proprietary Red 2018","Harlan",Main Cellar A1,OUT,2,,,consumption-2024-03-25,"Guest service - 6 guests",2024-03-25
5317,423,"Domaine Dujac Clos de la Roche 2009","Domaine",Guest Pantry 1,OUT,3,,,consumption-2024-03-25,"Guest service - 9 guests",2024-03-25
3090,117,"Pol Roger Sir Winston Churchill 1998","Pol",Main Cellar A2,OUT,1,,,consumption-2024-03-26,"Guest service - 2 guests",2024-03-26
3091,273,"Château Pontet‑Canet 2012","Château Pontet‑Canet 2012",Fridge 1,OUT,1,,,consumption-2024-03-27,"Guest service - 2 guests",2024-03-27
3092,311,"Château Montrose 2018","Château Montrose 2018",Guest Pantry 1,OUT,2,,,consumption-2024-03-27,"Guest service - 4 guests",2024-03-27
5318,913,"Opus One 2010","Opus One",Guest Pantry 1,OUT,2,,,consumption-2024-03-29,"Guest service - 4 guests",2024-03-29
5319,787,"La Rioja Alta 904 Gran Reserva 2005","La",Fridge 2,OUT,2,,,consumption-2024-03-29,"Guest service - 4 guests",2024-03-29
3093,25,"Krug Clos du Mesnil 2014","Krug",Fridge 1,OUT,4,,,consumption-2024-03-30,"Guest service - 12 guests",2024-03-30
5320,756,"Marqués de Murrieta Castillo Ygay 2002","Marqués de",Fridge 2,IN,12,,,intake-302,"Delivery from order #302",2024-03-30
3094,579,"Pierre‑Yves Colin‑Morey Chassagne‑Montrachet 1er Cru 2015","Pierre‑Yves",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-03-31
3095,167,"Château Lynch‑Bages 2015","Château Lynch‑Bages 2015",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-31
5321,756,"Marqués de Murrieta Castillo Ygay 2002","Marqués de",Fridge 2,IN,12,,,intake-303,"Delivery from order #303",2024-03-31
5322,880,"Harlan Estate Proprietary Red 2018","Harlan",Main Cellar A1,IN,12,,,intake-303,"Delivery from order #303",2024-03-31
5323,280,"Château Giscours 2014","Château Giscours 2014",Wine Fridge Starboard,OUT,1,,,consumption-2024-03-31,"Guest service - 2 guests",2024-03-31
5324,301,"Château Palmer 2018","Château Palmer 2018",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-03-31
5325,483,"Armand Rousseau Chambertin 2016","Armand",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-03-31
5326,266,"Château Lafite Rothschild 2016","Château Lafite Rothschild 2016",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-03-31
3096,117,"Pol Roger Sir Winston Churchill 1998","Pol",Main Cellar A2,OUT,1,,,consumption-2024-04-01,"Guest service - 3 guests",2024-04-01
3097,380,"Georges Roumier Bonnes‑Mares 2009","Georges",Fridge 1,OUT,1,,,consumption-2024-04-02,"Guest service - 2 guests",2024-04-02
3098,670,"Ornellaia 2008","Ornellaia",Fridge 1,OUT,1,,,consumption-2024-04-02,"Guest service - 2 guests",2024-04-02
5327,831,"Egon Müller Scharzhofberger Auslese 2012","Egon",Guest Pantry 2,OUT,2,,,consumption-2024-04-03,"Guest service - 5 guests",2024-04-03
5328,831,"Egon Müller Scharzhofberger Auslese 2012","Egon",Guest Pantry 2,OUT,2,,,consumption-2024-04-03,"Guest service - 4 guests",2024-04-03
5329,670,"Ornellaia 2008","Ornellaia",Fridge 1,OUT,1,,,consumption-2024-04-05,"Guest service - 2 guests",2024-04-05
3099,424,"Faiveley Mazis‑Chambertin 2014","Faiveley",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-06
3100,288,"Château Mouton Rothschild 2016","Château Mouton Rothschild 2016",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-06
3101,327,"Château Pape Clément Blanc 2022","Château Pape Clément Blanc 2022",Wine Fridge Port,ADJUST,1,,,,"Weekly audit adjustment",2024-04-06
5330,795,"CVNE Imperial Gran Reserva 2002","CVNE",Wine Fridge Port,ADJUST,1,,,,"Weekly audit adjustment",2024-04-06
5331,688,"Tignanello 2005","Tignanello",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-04-06
5332,44,"Bollinger La Grande Année 2009","Bollinger La",Main Cellar A1,ADJUST,1,,,,"Weekly audit adjustment",2024-04-06
5333,787,"La Rioja Alta 904 Gran Reserva 2005","La",Fridge 2,IN,12,,,intake-304,"Delivery from order #304",2024-04-07
3102,118,"Krug Vintage 2006","Krug",Guest Pantry 1,OUT,2,,,consumption-2024-04-08,"Guest service - 7 guests",2024-04-08
3103,66,"Dom Pérignon 2008","Dom",Wine Fridge Port,OUT,4,,,consumption-2024-04-08,"Guest service - 7 guests",2024-04-08
3104,913,"Opus One 2010","Opus One",Guest Pantry 1,OUT,1,,,consumption-2024-04-10,"Guest service - 2 guests",2024-04-10
3105,161,"Château Cos d'Estournel 2009","Château Cos d'Estournel 2009",Fridge 2,OUT,2,,,consumption-2024-04-10,"Guest service - 4 guests",2024-04-10
5334,787,"La Rioja Alta 904 Gran Reserva 2005","La",Fridge 2,IN,12,,,intake-305,"Delivery from order #305",2024-04-10
5335,207,"Château Palmer 2002","Château Palmer 2002",Fridge 1,OUT,1,,,consumption-2024-04-10,"Guest service - 2 guests",2024-04-10
5336,816,"Marqués de Murrieta Castillo Ygay 2012","Marqués de",Main Cellar B3,OUT,1,,,consumption-2024-04-10,"Guest service - 2 guests",2024-04-10
5337,377,"Domaine Dujac Clos de la Roche 2008","Domaine",Fridge 1,OUT,2,,,consumption-2024-04-11,"Guest service - 8 guests",2024-04-11
5338,281,"Château Lafite Rothschild 2005","Château Lafite Rothschild 2005",Fridge 2,OUT,4,,,consumption-2024-04-11,"Guest service - 8 guests",2024-04-11
3106,654,"Solaia 2018","Solaia",Main Cellar B1,OUT,1,,,consumption-2024-04-12,"Guest service - 2 guests",2024-04-12
3107,172,"Château Latour 2010","Château Latour 2010",Fridge 2,OUT,1,,,consumption-2024-04-12,"Guest service - 2 guests",2024-04-12
3108,270,"Château Montrose 2016","Château Montrose 2016",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-13
3109,634,"Vietti Barolo Ravera 2014","Vietti",Fridge 1,ADJUST,1,,,,"Weekly audit adjustment",2024-04-13
3110,870,"Egon Müller Scharzhofberger Auslese 2009","Egon",Main Cellar A2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-13
5339,787,"La Rioja Alta 904 Gran Reserva 2005","La",Fridge 2,IN,12,,,intake-306,"Delivery from order #306",2024-04-13
5340,455,"Sylvain Cathiard Vosne‑Romanée 1er Cru 2014","Sylvain",Main Cellar B3,OUT,2,,,consumption-2024-04-13,"Guest service - 3 guests",2024-04-13
5341,199,"Château Montrose 2002","Château Montrose 2002",Guest Pantry 1,OUT,1,,,consumption-2024-04-13,"Guest service - 2 guests",2024-04-13
5342,753,"Clos Mogador 2019","Clos",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-13
5343,119,"Dom Pérignon 2003","Dom",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-13
5344,270,"Château Montrose 2016","Château Montrose 2016",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-13
3111,88,"Krug Vintage 2016","Krug",Fridge 1,OUT,2,,,consumption-2024-04-15,"Guest service - 6 guests",2024-04-15
3112,725,"Planeta Chardonnay 2018","Planeta",Fridge 2,OUT,3,,,consumption-2024-04-15,"Guest service - 7 guests",2024-04-15
3113,836,"Wittmann Morstein GG 2005","Wittmann",Main Cellar B1,OUT,4,,,consumption-2024-04-16,"Guest service - 12 guests",2024-04-16
3114,641,"Casanova di Neri Tenuta Nuova 2016","Casanova di",Guest Pantry 1,OUT,2,,,consumption-2024-04-16,"Guest service - 6 guests",2024-04-16
5345,88,"Krug Vintage 2016","Krug",Fridge 1,OUT,2,,,consumption-2024-04-17,"Guest service - 6 guests",2024-04-17
5346,725,"Planeta Chardonnay 2018","Planeta",Fridge 2,OUT,3,,,consumption-2024-04-17,"Guest service - 7 guests",2024-04-17
5347,836,"Wittmann Morstein GG 2005","Wittmann",Main Cellar B1,OUT,4,,,consumption-2024-04-18,"Guest service - 12 guests",2024-04-18
5348,641,"Casanova di Neri Tenuta Nuova 2016","Casanova di",Guest Pantry 1,OUT,2,,,consumption-2024-04-18,"Guest service - 6 guests",2024-04-18
3115,118,"Krug Vintage 2006","Krug",Guest Pantry 1,IN,12,,,intake-67,"Delivery from order #67",2024-04-20
3116,161,"Château Cos d'Estournel 2009","Château Cos d'Estournel 2009",Fridge 2,IN,12,,,intake-67,"Delivery from order #67",2024-04-20
3117,303,"Château Rauzan‑Ségla 2016","Château Rauzan‑Ségla 2016",Main Cellar B1,ADJUST,1,,,,"Weekly audit adjustment",2024-04-20
3118,707,"Jermann Vintage Tunina 2005","Jermann",Guest Pantry 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-20
3119,270,"Château Montrose 2016","Château Montrose 2016",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-20
5349,641,"Casanova di Neri Tenuta Nuova 2016","Casanova di",Guest Pantry 1,ADJUST,1,,,,"Weekly audit adjustment",2024-04-20
5350,487,"Faiveley Mazis‑Chambertin 2009","Faiveley",Fridge 2,ADJUST,1,,,,"Weekly audit adjustment",2024-04-20
5351,851,"Dönnhoff Hermannshöhle GG 2014","Dönnhoff",Fridge 1,OUT,3,,,consumption-2024-04-21,"Guest service - 10 guests",2024-04-21
3120,138,"Château Giscours 2015","Château Giscours 2015",Fridge 1,OUT,1,,,consumption-2024-04-23,"Guest service - 4 guests",2024-04-23
5352,395,"Sylvain Cathiard Vosne‑Romanée 1er Cru 2002","Sylvain",Guest Pantry 1,OUT,3,,,consumption-2024-04-24,"Guest service - 9 guests",2024-04-24
3121,836,"Wittmann Morstein GG 2005","Wittmann",Main Cellar B1,IN,12,,,intake-68,"Delivery from order #68",2024-04-25
5353,725,"Planeta Chardonnay 2018","Planeta",Fridge 2,IN,12,,,intake-307,"Delivery from order #307",2024-04-25
5354,641,"Casanova di Neri Tenuta Nuova 2016","Casanova di",Guest Pantry 1,IN,12,,,intake-307,"Delivery from order #307",2024-04-25
3122,351,"Pavillon Blanc du Château Margaux 2015","Pavillon",Fridge 2,OUT,3,,,consumption-2024-04-26,"Guest service - 9 guests",2024-04-26
3123,328,"Château Haut‑Brion Blanc 2006","Château Haut‑Brion Blanc 2006",Main Cellar B3,OUT,4,,,consumption-2024-04-26,"Guest service - 8 guests",2024-04-26
