id,vintage_id,wine_id,wine_type,quantity,location,event_type,metadata,created_at
4278,831,831,White,2,Guest Pantry 2,consume,"{"guest_count":4}",2024-04-03
4279,670,670,Red,1,Fridge 1,consume,"{"guest_count":2}",2024-04-05
4280,787,null,Red,12,Fridge 2,receive,"{"order_id":304}",2024-04-07
2684,118,118,Sparkling,2,Guest Pantry 1,consume,"{"guest_count":7}",2024-04-08
2685,66,66,Sparkling,4,Wine Fridge Port,consume,"{"guest_count":7}",2024-04-08
2686,913,913,Red,1,Guest Pantry 1,consume,"{"guest_count":2}",2024-04-10
2687,161,161,Red,2,Fridge 2,consume,"{"guest_count":4}",2024-04-10
4281,787,null,Red,12,Fridge 2,receive,"{"order_id":305}",2024-04-10
4282,207,207,Red,1,Fridge 1,consume,"{"guest_count":2}",2024-04-10
4283,816,816,Red,1,Main Cellar B3,consume,"{"guest_count":2}",2024-04-10
4284,377,377,Red,2,Fridge 1,consume,"{"guest_count":8}",2024-04-11
4285,281,281,Red,4,Fridge 2,consume,"{"guest_count":8}",2024-04-11
2688,654,654,Red,1,Main Cellar B1,consume,"{"guest_count":2}",2024-04-12
2689,172,172,Red,1,Fridge 2,consume,"{"guest_count":2}",2024-04-12
4286,787,null,Red,12,Fridge 2,receive,"{"order_id":306}",2024-04-13
4287,455,455,Red,2,Main Cellar B3,consume,"{"guest_count":3}",2024-04-13
4288,199,199,Red,1,Guest Pantry 1,consume,"{"guest_count":2}",2024-04-13
2690,88,88,Sparkling,2,Fridge 1,consume,"{"guest_count":6}",2024-04-15
2691,725,725,White,3,Fridge 2,consume,"{"guest_count":7}",2024-04-15
2692,836,836,White,4,Main Cellar B1,consume,"{"guest_count":12}",2024-04-16
2693,641,641,Red,2,Guest Pantry 1,consume,"{"guest_count":6}",2024-04-16
4289,88,88,Sparkling,2,Fridge 1,consume,"{"guest_count":6}",2024-04-17
4290,725,725,White,3,Fridge 2,consume,"{"guest_count":7}",2024-04-17
4291,836,836,White,4,Main Cellar B1,consume,"{"guest_count":12}",2024-04-18
4292,641,641,Red,2,Guest Pantry 1,consume,"{"guest_count":6}",2024-04-18
2694,118,null,Sparkling,12,Guest Pantry 1,receive,"{"order_id":67}",2024-04-20
2695,161,null,Red,12,Fridge 2,receive,"{"order_id":67}",2024-04-20
4293,851,851,White,3,Fridge 1,consume,"{"guest_count":10}",2024-04-21
2696,138,138,Red,1,Fridge 1,consume,"{"guest_count":4}",2024-04-23
4294,395,395,Red,3,Guest Pantry 1,consume,"{"guest_count":9}",2024-04-24
2697,836,null,White,12,Main Cellar B1,receive,"{"order_id":68}",2024-04-25
4295,725,null,White,12,Fridge 2,receive,"{"order_id":307}",2024-04-25
4296,641,null,Red,12,Guest Pantry 1,receive,"{"order_id":307}",2024-04-25
2698,351,351,White,3,Fridge 2,consume,"{"guest_count":9}",2024-04-26
2699,328,328,White,4,Main Cellar B3,consume,"{"guest_count":8}",2024-04-26
2700,836,null,White,12,Main Cellar B1,receive,"{"order_id":69}",2024-04-28
2701,381,381,Red,1,Main Cellar A2,consume,"{"guest_count":3}",2024-04-29
2702,391,391,Red,1,Fridge 1,consume,"{"guest_count":2}",2024-04-29
4297,295,295,Red,2,Fridge 2,consume,"{"guest_count":7}",2024-04-29
4298,771,771,Red,2,Guest Pantry 1,consume,"{"guest_count":8}",2024-04-29
2703,184,184,Red,2,Guest Pantry 1,consume,"{"guest_count":4}",2024-05-02
4299,804,804,Red,1,Guest Pantry 2,consume,"{"guest_count":4}",2024-05-02
2704,797,797,Red,3,Fridge 1,consume,"{"guest_count":5}",2024-05-03
4300,478,478,Red,2,Main Cellar A2,consume,"{"guest_count":3}",2024-05-05
2705,858,858,White,3,Fridge 1,consume,"{"guest_count":5}",2024-05-06
2706,490,490,Red,1,Main Cellar B1,consume,"{"guest_count":4}",2024-05-06
2707,351,null,White,12,Fridge 2,receive,"{"order_id":70}",2024-05-07
2708,328,null,White,12,Main Cellar B3,receive,"{"order_id":70}",2024-05-07
2709,351,null,White,12,Fridge 2,receive,"{"order_id":71}",2024-05-07
2710,328,null,White,12,Main Cellar B3,receive,"{"order_id":71}",2024-05-07
2711,857,857,White,4,Fridge 2,consume,"{"guest_count":7}",2024-05-08
2712,977,977,Dessert,2,Fridge 1,consume,"{"guest_count":7}",2024-05-08
4301,771,null,Red,12,Guest Pantry 1,receive,"{"order_id":308}",2024-05-08
4302,503,503,White,3,Guest Pantry 1,consume,"{"guest_count":7}",2024-05-09
2713,895,895,Red,1,Fridge 2,consume,"{"guest_count":4}",2024-05-10
4303,771,null,Red,12,Guest Pantry 1,receive,"{"order_id":309}",2024-05-10
4304,771,null,Red,12,Guest Pantry 1,receive,"{"order_id":310}",2024-05-10
4305,483,483,Red,1,Main Cellar A2,consume,"{"guest_count":2}",2024-05-10
4306,305,305,Red,1,Wine Fridge Starboard,consume,"{"guest_count":4}",2024-05-10
4307,489,489,Red,1,Main Cellar B1,consume,"{"guest_count":2}",2024-05-12
2714,347,347,White,3,Guest Pantry 2,consume,"{"guest_count":9}",2024-05-13
2715,27,27,Sparkling,5,Main Cellar B1,consume,"{"guest_count":9}",2024-05-13
4308,169,169,Red,1,Fridge 2,consume,"{"guest_count":4}",2024-05-13
2716,586,586,Red,1,Fridge 2,consume,"{"guest_count":4}",2024-05-15
2717,435,435,Red,3,Guest Pantry 1,consume,"{"guest_count":6}",2024-05-15
2718,64,64,Sparkling,3,Main Cellar A1,consume,"{"guest_count":8}",2024-05-16
2719,169,169,Red,2,Fridge 2,consume,"{"guest_count":4}",2024-05-16
4309,483,null,Red,12,Main Cellar A2,receive,"{"order_id":311}",2024-05-16
4310,124,124,Red,5,Main Cellar A1,consume,"{"guest_count":10}",2024-05-16
2720,970,970,Dessert,2,Fridge 2,consume,"{"guest_count":6}",2024-05-18
2721,435,null,Red,12,Guest Pantry 1,receive,"{"order_id":72}",2024-05-23
2722,902,null,Red,12,Main Cellar A1,receive,"{"order_id":72}",2024-05-23
4311,124,null,Red,12,Main Cellar A1,receive,"{"order_id":312}",2024-05-23
4312,209,209,Red,1,Wine Fridge Port,consume,"{"guest_count":4}",2024-05-24
4313,840,840,White,1,Guest Pantry 1,consume,"{"guest_count":4}",2024-05-24
4314,124,null,Red,12,Main Cellar A1,receive,"{"order_id":313}",2024-05-25
2723,322,322,White,3,Main Cellar A2,consume,"{"guest_count":10}",2024-05-26
2724,553,553,White,5,Wine Fridge Port,consume,"{"guest_count":9}",2024-05-26
4315,110,110,Sparkling,2,Guest Pantry 1,consume,"{"guest_count":4}",2024-05-26
2725,48,48,Sparkling,3,Fridge 1,consume,"{"guest_count":12}",2024-05-27
2726,94,94,Sparkling,3,Guest Pantry 1,consume,"{"guest_count":7}",2024-05-27
4316,91,91,Sparkling,4,Guest Pantry 1,consume,"{"guest_count":12}",2024-05-27
4317,858,858,White,5,Fridge 1,consume,"{"guest_count":10}",2024-05-27
2727,215,215,Red,1,Main Cellar A2,consume,"{"guest_count":2}",2024-05-30
2728,7,7,Sparkling,1,Fridge 1,consume,"{"guest_count":3}",2024-05-30
2729,987,987,Dessert,4,Main Cellar B3,consume,"{"guest_count":10}",2024-05-31
2730,186,186,Red,2,Fridge 1,consume,"{"guest_count":6}",2024-05-31
2731,1,1,Sparkling,1,Main Cellar A1,consume,"{"guest_count":2}",2024-06-01
2732,344,344,White,2,Main Cellar A2,consume,"{"guest_count":3}",2024-06-01
4318,656,656,Red,1,Guest Pantry 1,consume,"{"guest_count":4}",2024-06-01
4319,285,285,Red,1,Main Cellar A2,consume,"{"guest_count":2}",2024-06-01
2733,558,558,White,6,Fridge 1,consume,"{"guest_count":12}",2024-06-02
4320,560,560,White,3,Main Cellar B3,consume,"{"guest_count":6}",2024-06-02
4321,176,176,Red,3,Fridge 2,consume,"{"guest_count":5}",2024-06-02
2734,554,554,White,3,Fridge 2,consume,"{"guest_count":5}",2024-06-03
2735,408,408,Red,2,Main Cellar B3,consume,"{"guest_count":6}",2024-06-03
4322,724,724,White,3,Fridge 2,consume,"{"guest_count":10}",2024-06-03
4323,115,115,Sparkling,2,Wine Fridge Starboard,consume,"{"guest_count":7}",2024-06-04
2736,48,null,Sparkling,12,Fridge 1,receive,"{"order_id":73}",2024-06-05
2737,322,null,White,12,Main Cellar A2,receive,"{"order_id":73}",2024-06-05
2738,730,730,White,4,Main Cellar A1,consume,"{"guest_count":7}",2024-06-05
2739,110,110,Sparkling,5,Guest Pantry 1,consume,"{"guest_count":9}",2024-06-05
4324,569,569,White,2,Wine Fridge Port,consume,"{"guest_count":6}",2024-06-05
2740,578,578,White,1,Main Cellar B1,consume,"{"guest_count":2}",2024-06-06
4325,143,143,Red,2,Fridge 1,consume,"{"guest_count":6}",2024-06-06
2741,747,747,Red,2,Fridge 1,consume,"{"guest_count":4}",2024-06-07
2742,666,666,Red,1,Fridge 2,consume,"{"guest_count":3}",2024-06-07
2743,231,231,Red,1,Fridge 2,consume,"{"guest_count":2}",2024-06-08
2744,604,604,Red,2,Fridge 2,consume,"{"guest_count":4}",2024-06-08
4326,864,864,White,4,Main Cellar B3,consume,"{"guest_count":8}",2024-06-08
4327,858,null,White,12,Fridge 1,receive,"{"order_id":314}",2024-06-09
4328,77,77,Sparkling,3,Guest Pantry 2,consume,"{"guest_count":6}",2024-06-09
4329,536,536,White,3,Fridge 2,consume,"{"guest_count":9}",2024-06-09
2745,276,276,Red,2,Fridge 1,consume,"{"guest_count":4}",2024-06-10
4330,136,136,Red,2,Main Cellar A2,consume,"{"guest_count":3}",2024-06-10
4331,585,585,Red,1,Fridge 1,consume,"{"guest_count":3}",2024-06-10
4332,108,108,Sparkling,6,Main Cellar A2,consume,"{"guest_count":12}",2024-06-11
4333,930,930,Red,3,Fridge 1,consume,"{"guest_count":7}",2024-06-11
2746,108,108,Sparkling,6,Main Cellar A2,consume,"{"guest_count":11}",2024-06-12
2747,956,956,Red,4,Guest Pantry 2,consume,"{"guest_count":7}",2024-06-12
4334,356,356,White,5,Wine Fridge Port,consume,"{"guest_count":9}",2024-06-12
4335,769,769,Red,3,Main Cellar A2,consume,"{"guest_count":6}",2024-06-12
2748,344,null,White,12,Main Cellar A2,receive,"{"order_id":74}",2024-06-13
2749,558,null,White,12,Fridge 1,receive,"{"order_id":74}",2024-06-13
2750,747,null,Red,12,Fridge 1,receive,"{"order_id":75}",2024-06-13
2751,344,null,White,12,Main Cellar A2,receive,"{"order_id":75}",2024-06-13
2752,558,null,White,12,Fridge 1,receive,"{"order_id":75}",2024-06-13
2753,578,null,White,12,Main Cellar B1,receive,"{"order_id":75}",2024-06-13
2754,168,168,Red,1,Guest Pantry 1,consume,"{"guest_count":2}",2024-06-13
2755,784,784,Red,1,Fridge 2,consume,"{"guest_count":2}",2024-06-13
4336,115,null,Sparkling,12,Wine Fridge Starboard,receive,"{"order_id":316}",2024-06-14
4337,724,null,White,12,Fridge 2,receive,"{"order_id":316}",2024-06-14
4338,143,null,Red,12,Fridge 1,receive,"{"order_id":316}",2024-06-14
4339,492,null,Red,12,Guest Pantry 2,receive,"{"order_id":316}",2024-06-14
4340,87,87,Sparkling,3,Main Cellar B1,consume,"{"guest_count":5}",2024-06-14
2756,41,41,Sparkling,3,Main Cellar A1,consume,"{"guest_count":6}",2024-06-15
2757,11,11,Sparkling,6,Fridge 1,consume,"{"guest_count":12}",2024-06-15
4341,858,null,White,12,Fridge 1,receive,"{"order_id":315}",2024-06-15
4342,115,null,Sparkling,12,Wine Fridge Starboard,receive,"{"order_id":315}",2024-06-15
4343,724,null,White,12,Fridge 2,receive,"{"order_id":315}",2024-06-15
4344,143,null,Red,12,Fridge 1,receive,"{"order_id":315}",2024-06-15
4345,384,384,Red,3,Fridge 1,consume,"{"guest_count":5}",2024-06-15
2758,457,457,Red,1,Main Cellar B3,consume,"{"guest_count":2}",2024-06-16
4346,553,553,White,2,Wine Fridge Port,consume,"{"guest_count":3}",2024-06-16
4347,555,555,White,2,Main Cellar A1,consume,"{"guest_count":3}",2024-06-16
2759,821,821,Red,4,Main Cellar B1,consume,"{"guest_count":7}",2024-06-17
4348,22,22,Sparkling,2,Main Cellar B1,consume,"{"guest_count":5}",2024-06-17
2760,747,null,Red,12,Fridge 1,receive,"{"order_id":76}",2024-06-18
2761,344,null,White,12,Main Cellar A2,receive,"{"order_id":76}",2024-06-18
2762,558,null,White,12,Fridge 1,receive,"{"order_id":76}",2024-06-18
2763,578,null,White,12,Main Cellar B1,receive,"{"order_id":76}",2024-06-18
2764,704,704,White,2,Fridge 1,consume,"{"guest_count":6}",2024-06-18
4349,115,null,Sparkling,12,Wine Fridge Starboard,receive,"{"order_id":317}",2024-06-18
4350,724,null,White,12,Fridge 2,receive,"{"order_id":317}",2024-06-18
4351,143,null,Red,12,Fridge 1,receive,"{"order_id":317}",2024-06-18
4352,492,null,Red,12,Guest Pantry 2,receive,"{"order_id":317}",2024-06-18
4353,585,null,Red,12,Fridge 1,receive,"{"order_id":317}",2024-06-18
4354,108,null,Sparkling,12,Main Cellar A2,receive,"{"order_id":318}",2024-06-18
4355,115,null,Sparkling,12,Wine Fridge Starboard,receive,"{"order_id":318}",2024-06-18
4356,724,null,White,12,Fridge 2,receive,"{"order_id":318}",2024-06-18
4357,143,null,Red,12,Fridge 1,receive,"{"order_id":318}",2024-06-18
4358,356,null,White,12,Wine Fridge Port,receive,"{"order_id":318}",2024-06-18
4359,492,null,Red,12,Guest Pantry 2,receive,"{"order_id":318}",2024-06-18
4360,585,null,Red,12,Fridge 1,receive,"{"order_id":318}",2024-06-18
4361,82,82,Sparkling,1,Fridge 2,consume,"{"guest_count":2}",2024-06-18
2765,108,null,Sparkling,12,Main Cellar A2,receive,"{"order_id":77}",2024-06-19
2766,401,401,Red,1,Fridge 2,consume,"{"guest_count":3}",2024-06-19
2767,815,815,Red,1,Main Cellar A2,consume,"{"guest_count":4}",2024-06-19
2768,290,290,Red,2,Guest Pantry 2,consume,"{"guest_count":6}",2024-06-20
4362,40,40,Sparkling,4,Wine Fridge Port,consume,"{"guest_count":10}",2024-06-20
4363,617,617,Red,5,Main Cellar A2,consume,"{"guest_count":10}",2024-06-20
4364,93,93,Sparkling,3,Wine Fridge Starboard,consume,"{"guest_count":9}",2024-06-22
4365,63,63,Sparkling,2,Main Cellar A2,consume,"{"guest_count":6}",2024-06-23
2769,508,508,White,3,Guest Pantry 1,consume,"{"guest_count":9}",2024-06-24
2770,459,459,Red,3,Wine Fridge Port,consume,"{"guest_count":8}",2024-06-24
4366,108,null,Sparkling,12,Main Cellar A2,receive,"{"order_id":319}",2024-06-25
4367,356,null,White,12,Wine Fridge Port,receive,"{"order_id":319}",2024-06-25
4368,585,null,Red,12,Fridge 1,receive,"{"order_id":319}",2024-06-25
4369,361,361,White,2,Guest Pantry 2,consume,"{"guest_count":4}",2024-06-25
2771,213,213,Red,4,Wine Fridge Starboard,consume,"{"guest_count":8}",2024-06-26
4370,617,null,Red,12,Main Cellar A2,receive,"{"order_id":320}",2024-06-26
4371,22,null,Sparkling,12,Main Cellar B1,receive,"{"order_id":320}",2024-06-26
4372,741,741,White,5,Main Cellar B1,consume,"{"guest_count":10}",2024-06-27
4373,134,134,Red,3,Main Cellar A2,consume,"{"guest_count":11}",2024-06-27
2772,72,72,Sparkling,3,Fridge 1,consume,"{"guest_count":10}",2024-06-28
4374,89,89,Sparkling,4,Main Cellar A2,consume,"{"guest_count":7}",2024-06-28
2773,847,847,White,1,Fridge 2,consume,"{"guest_count":2}",2024-06-29
4375,516,516,White,2,Guest Pantry 2,consume,"{"guest_count":4}",2024-06-29
2774,427,427,Red,2,Fridge 1,consume,"{"guest_count":4}",2024-06-30
4376,364,364,White,4,Guest Pantry 1,consume,"{"guest_count":7}",2024-06-30
2775,11,null,Sparkling,12,Fridge 1,receive,"{"order_id":78}",2024-07-02
2776,86,86,Sparkling,2,Main Cellar B1,consume,"{"guest_count":4}",2024-07-02
4377,617,null,Red,12,Main Cellar A2,receive,"{"order_id":321}",2024-07-02
4378,22,null,Sparkling,12,Main Cellar B1,receive,"{"order_id":321}",2024-07-02
4379,591,591,Red,2,Fridge 1,consume,"{"guest_count":8}",2024-07-02
2777,11,null,Sparkling,12,Fridge 1,receive,"{"order_id":79}",2024-07-03
2778,459,null,Red,12,Wine Fridge Port,receive,"{"order_id":79}",2024-07-03
2779,103,103,Sparkling,1,Main Cellar B3,consume,"{"guest_count":3}",2024-07-03
2780,11,null,Sparkling,12,Fridge 1,receive,"{"order_id":80}",2024-07-04
2781,459,null,Red,12,Wine Fridge Port,receive,"{"order_id":80}",2024-07-04
4380,821,821,Red,1,Main Cellar B1,consume,"{"guest_count":2}",2024-07-04
2782,141,141,Red,4,Guest Pantry 2,consume,"{"guest_count":7}",2024-07-05
2783,564,564,White,3,Main Cellar B1,consume,"{"guest_count":6}",2024-07-06
2784,365,365,White,2,Fridge 1,consume,"{"guest_count":6}",2024-07-06
4381,918,918,Red,2,Main Cellar A2,consume,"{"guest_count":3}",2024-07-06
4382,185,185,Red,2,Guest Pantry 1,consume,"{"guest_count":4}",2024-07-06
2785,238,238,Red,2,Guest Pantry 1,consume,"{"guest_count":6}",2024-07-07
2786,209,209,Red,1,Wine Fridge Port,consume,"{"guest_count":4}",2024-07-07
4383,32,32,Sparkling,2,Fridge 1,consume,"{"guest_count":7}",2024-07-07
4384,548,548,White,2,Fridge 1,consume,"{"guest_count":8}",2024-07-07
2787,177,177,Red,4,Guest Pantry 1,consume,"{"guest_count":8}",2024-07-08
4385,850,850,White,2,Guest Pantry 1,consume,"{"guest_count":8}",2024-07-08
4386,115,115,Sparkling,2,Wine Fridge Starboard,consume,"{"guest_count":5}",2024-07-08
2788,481,481,Red,1,Guest Pantry 1,consume,"{"guest_count":3}",2024-07-09
2789,924,924,Red,2,Fridge 2,consume,"{"guest_count":4}",2024-07-09
2790,721,721,White,2,Wine Fridge Starboard,consume,"{"guest_count":6}",2024-07-10
4387,364,null,White,12,Guest Pantry 1,receive,"{"order_id":322}",2024-07-11
4388,334,334,White,6,Fridge 1,consume,"{"guest_count":11}",2024-07-11
4389,820,820,Red,3,Main Cellar A2,consume,"{"guest_count":8}",2024-07-11
2791,105,105,Sparkling,3,Main Cellar B3,consume,"{"guest_count":7}",2024-07-12
2792,457,457,Red,2,Main Cellar B3,consume,"{"guest_count":6}",2024-07-12
2793,754,754,Red,1,Fridge 2,consume,"{"guest_count":4}",2024-07-13
4390,766,766,Red,3,Wine Fridge Port,consume,"{"guest_count":5}",2024-07-13
4391,922,922,Red,2,Main Cellar A2,consume,"{"guest_count":4}",2024-07-13
2794,515,515,White,3,Fridge 1,consume,"{"guest_count":11}",2024-07-14
2795,859,859,White,3,Fridge 2,consume,"{"guest_count":9}",2024-07-14
4392,506,506,White,3,Guest Pantry 1,consume,"{"guest_count":12}",2024-07-14
4393,322,322,White,4,Main Cellar A2,consume,"{"guest_count":8}",2024-07-14
4394,906,906,Red,4,Main Cellar B1,consume,"{"guest_count":7}",2024-07-15
4395,747,747,Red,2,Fridge 1,consume,"{"guest_count":5}",2024-07-15
2796,900,900,Red,3,Main Cellar A2,consume,"{"guest_count":8}",2024-07-16
4396,850,null,White,12,Guest Pantry 1,receive,"{"order_id":323}",2024-07-16
4397,32,null,Sparkling,12,Fridge 1,receive,"{"order_id":323}",2024-07-16
4398,820,null,Red,12,Main Cellar A2,receive,"{"order_id":323}",2024-07-16
2797,924,null,Red,12,Fridge 2,receive,"{"order_id":81}",2024-07-17
2798,108,108,Sparkling,5,Main Cellar A2,consume,"{"guest_count":10}",2024-07-18
4399,211,211,Red,2,Guest Pantry 1,consume,"{"guest_count":7}",2024-07-18
4400,341,341,White,3,Guest Pantry 2,consume,"{"guest_count":6}",2024-07-18
2799,348,348,White,5,Guest Pantry 1,consume,"{"guest_count":10}",2024-07-19
2800,642,642,Red,2,Fridge 2,consume,"{"guest_count":7}",2024-07-19
4401,498,498,Red,3,Main Cellar B3,consume,"{"guest_count":9}",2024-07-20
2801,127,127,Red,3,Fridge 2,consume,"{"guest_count":5}",2024-07-21
4402,773,773,Red,3,Main Cellar A1,consume,"{"guest_count":5}",2024-07-21
2802,558,558,White,1,Fridge 1,consume,"{"guest_count":2}",2024-07-22
2803,851,851,White,3,Fridge 1,consume,"{"guest_count":7}",2024-07-23
2804,348,null,White,12,Guest Pantry 1,receive,"{"order_id":82}",2024-07-24
2805,582,null,Red,12,Guest Pantry 1,receive,"{"order_id":82}",2024-07-24
2806,545,545,White,3,Guest Pantry 2,consume,"{"guest_count":12}",2024-07-24
4403,784,784,Red,2,Fridge 2,consume,"{"guest_count":6}",2024-07-24
4404,922,null,Red,12,Main Cellar A2,receive,"{"order_id":324}",2024-07-25
4405,859,859,White,3,Fridge 2,consume,"{"guest_count":9}",2024-07-25
4406,339,339,White,2,Fridge 2,consume,"{"guest_count":8}",2024-07-25
4407,936,936,Red,2,Main Cellar B3,consume,"{"guest_count":3}",2024-07-26
4408,289,289,Red,2,Main Cellar A1,consume,"{"guest_count":6}",2024-07-27
4409,436,436,Red,3,Fridge 1,consume,"{"guest_count":6}",2024-07-27
2807,390,390,Red,1,Fridge 2,consume,"{"guest_count":4}",2024-07-28
4410,740,740,White,2,Fridge 2,consume,"{"guest_count":6}",2024-07-28
