id,recommendation_id,user_id,session_id,overall_rating,flavor_harmony_rating,texture_balance_rating,acidity_match_rating,tannin_balance_rating,body_match_rating,regional_tradition_rating,occasion,guest_count,time_of_day,season,weather_context,selected,created_at
1821,7331,guest_a,1821,3,3,4,3,3,2,3,cocktail,8,evening,spring,outdoor,1,2024-04-11
705,2846,owner,705,5,5,4,4,4,5,5,celebration,2,afternoon,spring,indoor,1,2024-04-12
706,2851,owner,706,4,4,3,4,3,4,5,casual,2,evening,spring,indoor,1,2024-04-12
1822,7336,owner,1822,5,4,5,4,4,4,5,dinner,3,afternoon,spring,outdoor,1,2024-04-13
1823,7342,owner,1823,4,4,3,4,3,4,5,celebration,2,evening,spring,outdoor,1,2024-04-13
707,2856,guest_b,707,3,3,4,2,3,2,4,celebration,6,afternoon,spring,indoor,1,2024-04-15
708,2861,guest_b,708,3,2,4,2,2,2,3,celebration,7,evening,spring,indoor,1,2024-04-15
709,2866,guest_b,709,5,5,4,5,5,5,5,celebration,12,afternoon,spring,indoor,1,2024-04-16
710,2871,guest_b,710,5,4,5,5,5,4,5,lunch,6,evening,spring,indoor,1,2024-04-16
1824,7346,guest_b,1824,3,3,4,2,3,2,4,celebration,6,afternoon,spring,indoor,1,2024-04-17
1825,7351,guest_b,1825,3,2,4,2,2,2,3,celebration,7,evening,spring,indoor,1,2024-04-17
1826,7356,guest_b,1826,5,5,4,5,5,5,5,celebration,12,afternoon,spring,indoor,1,2024-04-18
1827,7361,guest_b,1827,5,4,5,5,5,4,5,lunch,6,evening,spring,indoor,1,2024-04-18
1828,7365,guest_b,1828,4,5,3,3,4,3,4,lunch,10,evening,spring,outdoor,1,2024-04-21
711,2875,guest_a,711,5,5,4,4,5,5,5,cocktail,4,evening,spring,outdoor,1,2024-04-23
1829,7369,guest_b,1829,3,4,4,3,3,2,3,lunch,9,night,spring,outdoor,1,2024-04-24
712,2878,guest_b,712,5,5,5,5,4,5,5,lunch,9,afternoon,spring,outdoor,1,2024-04-26
713,2884,guest_b,713,3,4,2,3,3,3,3,celebration,8,evening,spring,outdoor,1,2024-04-26
714,2888,owner,714,4,5,4,4,3,3,4,celebration,3,afternoon,spring,outdoor,1,2024-04-29
715,2894,owner,715,4,3,3,3,3,5,5,celebration,2,evening,spring,indoor,1,2024-04-29
1830,7371,guest_a,1830,5,4,5,5,4,4,5,cocktail,7,afternoon,spring,outdoor,1,2024-04-29
1831,7374,guest_a,1831,3,3,4,3,3,4,4,dinner,8,evening,spring,outdoor,1,2024-04-29
716,2898,guest_a,716,2,3,2,2,1,2,3,cocktail,4,afternoon,spring,outdoor,1,2024-05-02
1832,7378,owner,1832,4,4,5,3,4,5,4,casual,4,evening,spring,outdoor,1,2024-05-02
717,2901,guest_a,717,5,5,5,5,4,5,5,dinner,5,night,spring,outdoor,1,2024-05-03
1833,7382,owner,1833,4,5,5,3,3,5,4,dinner,3,evening,spring,outdoor,1,2024-05-05
718,2904,guest_a,718,5,4,5,5,5,5,5,lunch,5,afternoon,spring,outdoor,1,2024-05-06
719,2909,guest_a,719,4,4,3,3,4,3,5,lunch,4,night,spring,outdoor,1,2024-05-06
720,2913,guest_b,720,4,4,3,4,3,4,5,celebration,7,afternoon,spring,outdoor,1,2024-05-08
721,2918,guest_b,721,4,5,3,5,3,5,5,cocktail,7,evening,spring,outdoor,1,2024-05-08
1834,7386,guest_a,1834,4,4,5,3,4,5,5,cocktail,7,evening,spring,outdoor,1,2024-05-09
722,2921,guest_a,722,3,3,4,4,2,4,4,dinner,4,evening,spring,outdoor,1,2024-05-10
1835,7391,owner,1835,5,5,5,5,5,5,5,dinner,2,afternoon,spring,indoor,1,2024-05-10
1836,7394,owner,1836,4,3,3,5,3,5,5,dinner,4,evening,spring,outdoor,1,2024-05-10
1837,7398,owner,1837,5,5,4,5,5,4,5,celebration,2,night,spring,outdoor,1,2024-05-12
723,2924,guest_b,723,5,4,4,5,5,5,5,lunch,9,afternoon,spring,outdoor,1,2024-05-13
724,2927,guest_b,724,2,1,2,2,1,3,3,cocktail,9,evening,spring,outdoor,1,2024-05-13
1838,7402,guest_a,1838,3,4,3,3,2,2,3,dinner,4,night,spring,indoor,1,2024-05-13
725,2932,guest_a,725,5,4,5,5,5,4,5,cocktail,4,afternoon,spring,outdoor,1,2024-05-15
726,2936,guest_a,726,4,5,5,3,4,3,4,cocktail,6,evening,spring,outdoor,1,2024-05-15
727,2939,guest_a,727,4,3,3,5,3,3,4,lunch,8,afternoon,spring,indoor,1,2024-05-16
728,2944,guest_a,728,4,4,4,5,4,4,5,lunch,4,night,spring,outdoor,1,2024-05-16
1839,7407,guest_b,1839,4,5,5,4,3,4,5,celebration,10,evening,spring,outdoor,1,2024-05-16
729,2951,guest_b,729,4,5,3,3,3,4,5,lunch,6,evening,spring,outdoor,1,2024-05-18
1840,7412,guest_a,1840,4,5,5,3,3,4,4,lunch,4,afternoon,spring,outdoor,1,2024-05-24
1841,7417,guest_a,1841,4,4,3,5,4,5,5,lunch,4,evening,spring,outdoor,1,2024-05-24
730,2953,guest_b,730,5,5,5,4,4,5,5,cocktail,10,afternoon,spring,outdoor,1,2024-05-26
731,2955,guest_b,731,3,2,2,2,3,4,4,cocktail,9,night,spring,outdoor,1,2024-05-26
1842,7419,owner,1842,5,5,5,5,5,5,5,celebration,4,evening,spring,indoor,1,2024-05-26
732,2959,guest_b,732,4,3,4,3,4,3,4,cocktail,12,afternoon,spring,indoor,1,2024-05-27
733,2962,guest_b,733,5,5,5,5,5,5,5,lunch,7,night,spring,indoor,1,2024-05-27
1843,7423,guest_b,1843,5,5,5,4,4,4,5,celebration,12,afternoon,spring,outdoor,1,2024-05-27
1844,7426,guest_b,1844,2,3,3,3,2,3,2,cocktail,10,night,spring,outdoor,1,2024-05-27
734,2967,owner,734,5,4,5,5,5,4,5,dinner,2,afternoon,spring,indoor,1,2024-05-30
735,2972,owner,735,5,5,5,5,5,4,5,celebration,3,evening,spring,outdoor,1,2024-05-30
736,2978,guest_b,736,5,5,5,5,4,4,5,lunch,10,afternoon,summer,indoor,1,2024-05-31
737,2979,guest_b,737,1,2,2,2,1,1,1,lunch,6,evening,summer,indoor,1,2024-05-31
738,2983,owner,738,4,3,3,3,4,4,5,celebration,2,afternoon,summer,indoor,1,2024-06-01
739,2987,owner,739,5,5,5,5,5,4,5,casual,3,evening,summer,outdoor,1,2024-06-01
1845,7432,owner,1845,4,5,5,5,4,3,5,celebration,4,afternoon,summer,indoor,1,2024-06-01
1846,7434,owner,1846,4,3,5,3,3,3,5,casual,2,evening,summer,outdoor,1,2024-06-01
740,2991,guest_b,740,2,2,1,1,1,1,2,cocktail,12,evening,summer,outdoor,1,2024-06-02
1847,7437,guest_a,1847,4,3,4,3,3,3,5,lunch,6,afternoon,summer,indoor,1,2024-06-02
1848,7441,guest_a,1848,5,5,5,5,5,4,5,cocktail,5,evening,summer,outdoor,1,2024-06-02
741,2995,guest_a,741,4,5,3,3,4,4,4,lunch,5,afternoon,summer,outdoor,1,2024-06-03
742,3000,guest_a,742,4,5,3,3,4,5,4,lunch,6,evening,summer,outdoor,1,2024-06-03
1849,7444,guest_b,1849,3,2,4,4,3,4,4,lunch,10,evening,summer,indoor,1,2024-06-03
1850,7449,guest_b,1850,3,3,2,2,2,4,4,celebration,7,evening,summer,indoor,1,2024-06-04
743,3005,guest_b,743,5,5,4,5,5,5,5,celebration,7,afternoon,summer,outdoor,1,2024-06-05
744,3010,guest_b,744,3,4,4,2,2,2,3,lunch,9,night,summer,indoor,1,2024-06-05
1851,7452,guest_b,1851,3,3,2,2,2,3,3,cocktail,6,afternoon,summer,outdoor,1,2024-06-05
745,3014,owner,745,5,4,5,5,5,4,5,dinner,2,evening,summer,outdoor,1,2024-06-06
1852,7458,guest_a,1852,5,5,5,5,4,4,5,cocktail,6,evening,summer,indoor,1,2024-06-06
746,3017,owner,746,4,3,3,4,4,4,5,casual,4,afternoon,summer,outdoor,1,2024-06-07
747,3021,owner,747,5,5,5,5,4,5,5,casual,3,evening,summer,indoor,1,2024-06-07
748,3025,owner,748,4,4,3,3,3,4,4,dinner,2,afternoon,summer,outdoor,1,2024-06-08
749,3028,owner,749,5,5,4,5,4,5,5,casual,4,evening,summer,outdoor,1,2024-06-08
1853,7460,guest_a,1853,4,5,5,4,3,4,4,lunch,8,night,summer,outdoor,1,2024-06-08
1854,7464,guest_b,1854,5,5,5,5,4,5,5,cocktail,6,afternoon,summer,outdoor,1,2024-06-09
1855,7469,guest_b,1855,4,5,5,4,3,5,5,lunch,9,evening,summer,outdoor,1,2024-06-09
750,3032,guest_a,750,4,3,3,4,4,3,4,lunch,4,night,summer,outdoor,1,2024-06-10
1856,7473,owner,1856,5,4,5,5,5,5,5,celebration,3,afternoon,summer,outdoor,1,2024-06-10
1857,7476,owner,1857,5,5,4,5,5,5,5,celebration,3,evening,summer,indoor,1,2024-06-10
1858,7479,guest_b,1858,3,4,3,2,3,4,3,celebration,12,afternoon,summer,indoor,1,2024-06-11
1859,7486,guest_b,1859,2,2,2,1,1,2,3,lunch,7,night,summer,outdoor,1,2024-06-11
751,3037,guest_b,751,4,5,3,4,3,5,4,celebration,11,afternoon,summer,outdoor,1,2024-06-12
752,3042,guest_b,752,5,5,5,5,5,4,5,celebration,7,evening,summer,indoor,1,2024-06-12
1860,7489,guest_b,1860,4,3,3,5,3,3,5,cocktail,9,afternoon,summer,indoor,1,2024-06-12
1861,7495,guest_b,1861,4,4,4,5,3,4,4,lunch,6,evening,summer,outdoor,1,2024-06-12
753,3047,owner,753,4,5,4,4,3,5,5,dinner,2,afternoon,summer,indoor,1,2024-06-13
754,3052,owner,754,5,5,4,4,4,5,5,dinner,2,evening,summer,indoor,1,2024-06-13
1862,7500,guest_a,1862,4,5,5,4,3,5,5,dinner,5,afternoon,summer,outdoor,1,2024-06-14
755,3055,guest_b,755,4,5,5,5,4,5,5,cocktail,6,afternoon,summer,outdoor,1,2024-06-15
756,3060,guest_b,756,4,4,4,3,3,4,5,lunch,12,evening,summer,outdoor,1,2024-06-15
1863,7504,guest_a,1863,5,4,4,4,5,4,5,dinner,5,night,summer,outdoor,1,2024-06-15
757,3064,owner,757,5,4,5,5,4,4,5,celebration,2,afternoon,summer,outdoor,1,2024-06-16
1864,7509,owner,1864,4,5,5,5,4,4,4,celebration,3,afternoon,summer,outdoor,1,2024-06-16
1865,7514,owner,1865,5,5,5,4,4,5,5,celebration,3,night,summer,indoor,1,2024-06-16
758,3067,guest_a,758,3,4,4,2,2,4,3,cocktail,7,evening,summer,outdoor,1,2024-06-17
1866,7519,guest_a,1866,4,5,3,4,4,4,4,cocktail,5,evening,summer,outdoor,1,2024-06-17
759,3072,guest_b,759,4,4,4,3,3,3,5,lunch,6,afternoon,summer,outdoor,1,2024-06-18
1867,7523,owner,1867,5,5,5,5,5,4,5,dinner,2,night,summer,outdoor,1,2024-06-18
760,3076,owner,760,5,5,5,5,4,4,5,celebration,3,afternoon,summer,outdoor,1,2024-06-19
761,3081,owner,761,5,4,5,4,5,5,5,celebration,4,evening,summer,outdoor,1,2024-06-19
762,3085,guest_a,762,3,2,4,3,2,2,4,cocktail,6,night,summer,outdoor,1,2024-06-20
1868,7526,guest_b,1868,3,4,3,3,2,3,3,celebration,10,afternoon,summer,outdoor,1,2024-06-20
1869,7529,guest_b,1869,5,5,5,5,5,4,5,lunch,10,evening,summer,indoor,1,2024-06-20
1870,7534,guest_b,1870,5,4,4,5,4,5,5,lunch,9,evening,summer,indoor,1,2024-06-22
1871,7537,guest_b,1871,3,2,2,3,3,4,3,lunch,6,evening,summer,outdoor,1,2024-06-23
763,3088,guest_b,763,5,5,5,5,5,5,5,cocktail,9,afternoon,summer,outdoor,1,2024-06-24
764,3093,guest_b,764,2,2,2,3,2,2,2,cocktail,8,evening,summer,indoor,1,2024-06-24
1872,7540,guest_a,1872,3,2,2,3,3,2,3,cocktail,4,afternoon,summer,outdoor,1,2024-06-25
765,3097,guest_a,765,3,3,3,4,2,2,3,cocktail,8,night,summer,outdoor,1,2024-06-26
1873,7545,guest_b,1873,3,4,4,2,2,4,3,lunch,10,afternoon,summer,outdoor,1,2024-06-27
1874,7550,guest_b,1874,3,2,4,3,2,3,3,celebration,11,evening,summer,outdoor,1,2024-06-27
766,3102,guest_b,766,3,4,3,2,3,4,3,celebration,10,evening,summer,outdoor,1,2024-06-28
1875,7554,guest_b,1875,4,5,4,3,4,3,5,celebration,7,evening,summer,outdoor,1,2024-06-28
767,3110,owner,767,4,5,5,3,3,4,5,celebration,2,evening,summer,indoor,1,2024-06-29
1876,7557,guest_a,1876,4,4,3,3,4,3,5,cocktail,4,evening,summer,outdoor,1,2024-06-29
768,3112,owner,768,4,5,3,4,3,3,4,celebration,4,afternoon,summer,outdoor,1,2024-06-30
1877,7561,guest_b,1877,4,5,3,3,4,5,5,celebration,7,evening,summer,outdoor,1,2024-06-30
769,3117,owner,769,5,5,5,4,5,5,5,casual,4,evening,summer,outdoor,1,2024-07-02
1878,7564,guest_a,1878,3,4,2,2,3,3,3,cocktail,8,evening,summer,indoor,1,2024-07-02
770,3120,owner,770,5,5,5,5,5,5,5,celebration,3,afternoon,summer,indoor,1,2024-07-03
1879,7568,owner,1879,3,3,3,4,3,3,3,celebration,2,evening,summer,outdoor,1,2024-07-04
771,3126,guest_b,771,5,5,5,5,4,5,5,celebration,7,evening,summer,indoor,1,2024-07-05
772,3128,guest_a,772,3,2,2,2,3,3,3,cocktail,6,afternoon,summer,outdoor,1,2024-07-06
773,3132,guest_a,773,4,4,4,5,3,5,4,dinner,6,evening,summer,outdoor,1,2024-07-06
1880,7573,owner,1880,5,4,5,5,4,5,5,casual,3,afternoon,summer,indoor,1,2024-07-06
1881,7578,owner,1881,4,3,3,4,4,5,4,dinner,4,night,summer,outdoor,1,2024-07-06
774,3136,guest_a,774,4,5,4,4,3,4,4,cocktail,6,afternoon,summer,outdoor,1,2024-07-07
775,3140,guest_a,775,4,4,3,4,4,4,5,dinner,4,evening,summer,outdoor,1,2024-07-07
1882,7583,guest_b,1882,5,4,5,5,5,5,5,celebration,7,afternoon,summer,indoor,1,2024-07-07
1883,7587,guest_b,1883,5,5,5,5,5,5,5,lunch,8,night,summer,outdoor,1,2024-07-07
776,3145,guest_a,776,3,4,3,4,2,2,4,dinner,8,night,summer,outdoor,1,2024-07-08
1884,7590,guest_a,1884,4,3,5,5,3,5,5,lunch,8,afternoon,summer,outdoor,1,2024-07-08
1885,7593,guest_a,1885,4,3,4,4,4,4,4,dinner,5,night,summer,outdoor,1,2024-07-08
777,3150,owner,777,4,4,5,5,3,3,5,celebration,3,afternoon,summer,indoor,1,2024-07-09
778,3153,owner,778,5,5,4,5,5,5,5,celebration,4,night,summer,outdoor,1,2024-07-09
779,3158,guest_a,779,4,3,5,3,4,4,5,cocktail,6,evening,summer,outdoor,1,2024-07-10
1886,7598,guest_b,1886,5,5,5,4,4,5,5,lunch,11,afternoon,summer,outdoor,1,2024-07-11
1887,7603,guest_b,1887,3,4,3,3,2,2,4,lunch,8,evening,summer,outdoor,1,2024-07-11
780,3162,guest_a,780,4,3,5,5,4,4,5,dinner,7,afternoon,summer,outdoor,1,2024-07-12
781,3164,guest_a,781,4,3,4,5,3,3,5,lunch,6,night,summer,indoor,1,2024-07-12
782,3169,owner,782,4,5,4,5,4,4,4,casual,4,evening,summer,outdoor,1,2024-07-13
1888,7605,guest_a,1888,4,3,3,4,3,4,4,lunch,5,afternoon,summer,outdoor,1,2024-07-13
1889,7609,guest_a,1889,4,3,5,5,4,4,5,dinner,4,evening,summer,outdoor,1,2024-07-13
783,3172,guest_b,783,3,3,3,2,3,2,4,lunch,11,afternoon,summer,outdoor,1,2024-07-14
784,3178,guest_b,784,5,5,5,5,4,5,5,lunch,9,evening,summer,outdoor,1,2024-07-14
1890,7612,guest_b,1890,4,4,5,3,3,3,4,cocktail,12,afternoon,summer,indoor,1,2024-07-14
1891,7617,guest_b,1891,4,5,4,4,3,4,5,lunch,8,evening,summer,outdoor,1,2024-07-14
1892,7621,guest_a,1892,5,4,5,4,5,5,5,dinner,7,afternoon,summer,outdoor,1,2024-07-15
1893,7625,guest_a,1893,5,5,5,4,5,5,5,lunch,5,evening,summer,outdoor,1,2024-07-15
785,3183,guest_b,785,4,4,4,5,3,5,4,cocktail,8,evening,summer,outdoor,1,2024-07-16
786,3185,guest_b,786,5,5,4,4,4,5,5,lunch,10,evening,summer,indoor,1,2024-07-18
1894,7628,guest_b,1894,3,4,2,3,2,2,4,celebration,7,afternoon,summer,indoor,1,2024-07-18
1895,7634,guest_b,1895,4,4,5,4,4,4,5,celebration,6,evening,summer,outdoor,1,2024-07-18
787,3190,guest_b,787,4,5,5,5,3,3,4,cocktail,10,afternoon,summer,outdoor,1,2024-07-19
788,3195,guest_b,788,4,3,4,5,3,5,5,cocktail,7,evening,summer,outdoor,1,2024-07-19
1896,7639,guest_b,1896,3,4,2,3,2,2,3,lunch,9,night,summer,indoor,1,2024-07-20
789,3198,guest_a,789,4,3,4,4,3,5,4,dinner,5,evening,summer,indoor,1,2024-07-21
1897,7645,guest_a,1897,4,4,5,5,3,5,5,lunch,5,afternoon,summer,indoor,1,2024-07-21
790,3202,owner,790,5,4,5,5,5,4,5,celebration,2,night,summer,outdoor,1,2024-07-22
791,3205,guest_b,791,4,3,5,5,3,3,5,lunch,7,evening,summer,indoor,1,2024-07-23
792,3209,guest_b,792,5,5,5,5,4,4,5,cocktail,12,evening,summer,outdoor,1,2024-07-24
1898,7647,guest_a,1898,5,5,4,4,5,5,5,cocktail,6,afternoon,summer,outdoor,1,2024-07-24
1899,7653,guest_b,1899,5,5,5,5,4,5,5,lunch,9,afternoon,summer,outdoor,1,2024-07-25
1900,7657,guest_b,1900,5,5,5,5,5,5,5,lunch,8,evening,summer,indoor,1,2024-07-25
1901,7660,owner,1901,4,5,3,3,4,4,5,celebration,3,night,summer,outdoor,1,2024-07-26
1902,7664,guest_a,1902,4,4,4,3,4,4,4,dinner,6,afternoon,summer,outdoor,1,2024-07-27
1903,7669,guest_a,1903,3,3,3,3,2,2,4,lunch,6,evening,summer,outdoor,1,2024-07-27
793,3212,guest_a,793,5,5,4,5,5,4,5,lunch,4,night,summer,indoor,1,2024-07-28
1904,7672,guest_b,1904,4,3,4,3,3,5,4,cocktail,6,afternoon,summer,indoor,1,2024-07-28
1905,7677,guest_b,1905,5,5,4,4,4,5,5,cocktail,10,evening,summer,outdoor,1,2024-07-28
794,3215,guest_b,794,3,4,2,4,2,4,3,lunch,10,afternoon,summer,indoor,1,2024-07-29
795,3220,guest_b,795,5,5,4,5,5,5,5,lunch,12,night,summer,indoor,1,2024-07-29
1906,7680,guest_b,1906,5,5,5,5,4,4,5,lunch,7,afternoon,summer,outdoor,1,2024-07-29
1907,7682,guest_b,1907,2,2,1,2,1,1,3,celebration,11,evening,summer,indoor,1,2024-07-29
796,3223,guest_a,796,3,2,2,4,3,4,4,dinner,6,evening,summer,outdoor,1,2024-07-30
797,3225,guest_b,797,3,3,3,3,3,2,3,celebration,7,evening,summer,outdoor,1,2024-07-31
1908,7687,owner,1908,5,5,4,5,5,4,5,dinner,2,afternoon,summer,outdoor,1,2024-07-31
1909,7690,owner,1909,4,4,5,3,4,3,4,casual,4,evening,summer,indoor,1,2024-07-31
798,3229,guest_a,798,4,5,3,5,3,5,5,dinner,4,afternoon,summer,outdoor,1,2024-08-01
799,3232,guest_a,799,5,5,5,5,4,4,5,lunch,4,night,summer,outdoor,1,2024-08-01
800,3237,guest_b,800,3,2,4,2,3,2,3,lunch,7,night,summer,outdoor,1,2024-08-02
1910,7693,guest_b,1910,3,2,3,3,3,2,4,cocktail,9,night,summer,outdoor,1,2024-08-02
801,3240,guest_a,801,3,4,3,4,2,4,4,lunch,5,afternoon,summer,outdoor,1,2024-08-03
802,3244,guest_a,802,4,3,4,5,4,5,4,cocktail,4,evening,summer,outdoor,1,2024-08-03
803,3248,owner,803,4,3,4,3,3,5,5,dinner,4,evening,summer,outdoor,1,2024-08-04
804,3250,guest_b,804,2,2,1,2,1,3,3,celebration,11,afternoon,summer,outdoor,1,2024-08-06
805,3253,guest_b,805,4,4,3,5,3,5,4,celebration,11,evening,summer,outdoor,1,2024-08-06
1911,7697,guest_b,1911,3,2,2,3,2,3,4,celebration,12,afternoon,summer,outdoor,1,2024-08-06
1912,7705,guest_b,1912,4,3,3,3,4,4,5,lunch,7,evening,summer,indoor,1,2024-08-06
